City,Month,PM2.5,PM10,NO,NO2,NOx,CO,O3,AQI,AQI_Bucket
Ahmedabad,February,66.52,,6.34,23.8,28.24,6.34,53.14,388,Very Poor
Ahmedabad,February,65.04,,14.19,30.1,44.21,14.19,31.88,288,Poor
Ahmedabad,February,80.61,,15.96,21.04,35.67,15.96,36.2,479,Severe
Ahmedabad,February,100.79,,16.24,25.93,41.91,16.24,37.43,592,Severe
Ahmedabad,February,118.72,,12.56,32.01,42.56,12.56,38.8,411,Severe
Ahmedabad,February,52.99,,2.23,10.45,10.39,2.23,67.25,292,Poor
Ahmedabad,March,60.78,,9.07,18.21,27.34,9.07,34.75,189,Moderate
Ahmedabad,March,91.83,,12.99,28.71,40.76,12.99,38.46,408,Severe
Ahmedabad,March,93.88,,18.21,29.38,47.01,18.21,46.79,383,Very Poor
Ahmedabad,March,71.56,,3.51,16.83,20.32,3.51,57.16,190,Moderate
Ahmedabad,March,119.8,,4.13,24.07,27.9,4.13,50.49,233,Poor
Ahmedabad,March,106.71,,5.39,25.59,30.51,5.39,60.17,297,Poor
Ahmedabad,March,118.49,,4.11,28.94,31.83,4.11,53.61,330,Very Poor
Ahmedabad,March,97.34,,3.67,21.58,24.62,3.67,45.69,244,Poor
Ahmedabad,March,83.92,,6.42,25.03,30.8,6.42,34.94,234,Poor
Ahmedabad,March,49.51,,3.1,14.16,16.15,3.1,37.95,219,Poor
Ahmedabad,March,30.76,,2.72,14.14,16.98,2.72,54.78,118,Moderate
Ahmedabad,March,50.29,,5.34,29.84,33.28,5.34,45.44,231,Poor
Ahmedabad,March,94.1,,22.14,36.53,57.49,22.14,46.77,720,Severe
Ahmedabad,March,111.89,,22.25,43.29,64.53,22.25,50.57,570,Severe
Ahmedabad,March,165.07,,23.83,34.48,57.71,23.83,43.79,585,Severe
Ahmedabad,March,147.38,,6.4,35.82,40.22,6.4,17.94,437,Severe
Ahmedabad,March,133.37,,3.88,17.99,21.02,3.88,39.66,339,Very Poor
Ahmedabad,March,133.3,,6.52,20,26.18,6.52,59.03,339,Very Poor
Ahmedabad,April,96.04,,3.8,20.07,23.46,3.8,46.61,324,Very Poor
Ahmedabad,April,53.07,,4.17,13.82,17.45,4.17,21.76,169,Moderate
Ahmedabad,April,63.11,,5.63,15.5,18.49,5.63,4.72,220,Poor
Ahmedabad,April,120.96,,4.23,20.86,25.02,4.23,35.66,303,Very Poor
Ahmedabad,April,144.36,,15.82,30.69,46.1,15.82,27.34,378,Very Poor
Ahmedabad,April,85.03,,3.3,26.7,27.41,3.3,35.89,415,Severe
Ahmedabad,April,58.37,,5.74,21.71,27.69,5.74,43.92,244,Poor
Ahmedabad,April,95.37,,18.01,26.23,44.34,18.01,41.64,315,Very Poor
Ahmedabad,April,71.22,,16.73,21.32,37.58,16.73,28.39,358,Very Poor
Ahmedabad,April,97.87,,6.3,17.96,23.45,6.3,34.16,357,Very Poor
Ahmedabad,April,80.9,,5.7,18.62,24.23,5.7,22.8,214,Poor
Ahmedabad,May,106.15,,13.12,23.02,35.05,13.12,81.6,503,Severe
Ahmedabad,May,86.31,,2.69,10.5,10.9,2.69,90.54,308,Very Poor
Ahmedabad,May,83.99,,2.73,0.08,2.75,2.73,69.57,227,Poor
Ahmedabad,May,65.11,,3.14,4.58,6.75,3.14,32.26,120,Moderate
Ahmedabad,May,100.92,,20.42,18.9,37.83,20.42,22.84,481,Severe
Ahmedabad,May,97.48,,5.31,30.02,33.62,5.31,16.26,352,Very Poor
Ahmedabad,May,100.57,,7.56,18.79,24.33,7.56,38.83,411,Severe
Ahmedabad,May,130.34,,7.14,17.43,23.72,7.14,29.05,212,Poor
Ahmedabad,May,53.24,,8.05,15.86,23.34,8.05,21.58,280,Poor
Ahmedabad,May,83.69,,10.89,17.18,27.15,10.89,35.61,569,Severe
Ahmedabad,May,38.88,,2.18,16.28,17.74,2.18,12.47,128,Moderate
Ahmedabad,May,46.89,,2.96,16.17,18.49,2.96,10.74,129,Moderate
Ahmedabad,May,70.96,,4.12,15.47,19.28,4.12,16.01,152,Moderate
Ahmedabad,May,53.66,,4.23,14.43,18.06,4.23,45.64,176,Moderate
Ahmedabad,May,45.49,,4.26,13.73,17.1,4.26,71.85,167,Moderate
Ahmedabad,May,60.86,,5.27,16.61,21.42,5.27,41.19,106,Moderate
Ahmedabad,May,51.93,,13.71,17.87,31.64,13.71,12.88,231,Poor
Ahmedabad,May,77.87,,6.67,17.12,23,6.67,16.67,327,Very Poor
Ahmedabad,May,57.59,,5.6,15.47,20.42,5.6,25.51,174,Moderate
Ahmedabad,June,45.29,,7.25,12.74,19.66,7.25,6.32,179,Moderate
Ahmedabad,June,103.78,,6.36,13.9,19.86,6.36,15.27,211,Poor
Ahmedabad,June,38.11,,7.41,11.62,19.03,7.41,6.69,184,Moderate
Ahmedabad,June,45.5,,8.56,15.59,24.15,8.56,3.82,220,Poor
Ahmedabad,June,36.98,,8.21,11.52,19.74,8.21,5.17,215,Poor
Ahmedabad,June,43.58,,8.26,13.33,21.58,8.26,7.56,226,Poor
Ahmedabad,June,45.49,,9.63,14.91,24.53,9.63,2.94,251,Poor
Ahmedabad,June,38.06,,8.67,18.57,27.25,8.67,4.63,216,Poor
Ahmedabad,June,45.41,,9.35,20.55,29.9,9.35,4.5,237,Poor
Ahmedabad,June,37.71,,8.54,16.26,24.8,8.54,4.6,198,Moderate
Ahmedabad,June,32.37,,7.53,14.36,21.89,7.53,12.17,195,Moderate
Ahmedabad,June,34.74,,7.59,13.51,21.11,7.59,12.22,187,Moderate
Ahmedabad,June,32.56,,7.34,13.91,21.25,7.34,11.85,181,Moderate
Ahmedabad,June,29.28,,7.55,11.68,19.23,7.55,12.64,179,Moderate
